artist,header,locations-name,locations-url,products,time,title,searchresultURL,listened,skipped,searched
,Play Music,,,Google Play Music,2017-12-22T07:23:48.998Z,carry on my wayward sub,https://play.google.com/music/search/carry+on+my+wayward+sub,False,False,True
Anomalie,Google Play Music,,,Google Play Music,2017-12-22T06:49:02.021Z,Daybreak,,True,False,False
Philip Lassiter,Google Play Music,,,Google Play Music,2017-12-22T06:45:35.190Z,Pick Myself Up (feat. Tommy Sims),,True,False,False
The Funky Knuckles,Google Play Music,,,Google Play Music,2017-12-22T06:41:52.535Z,"[12]3,4 How Bout Them Funky Knuckles",,True,False,False
Ghost-Note,Google Play Music,,,Google Play Music,2017-12-22T06:40:19.109Z,Beastie,,True,False,False
Tigran Hamasyan,Google Play Music,,,Google Play Music,2017-12-22T06:37:34.953Z,Entertain Me,,True,False,False
Jojo Mayer/ Nerve,Google Play Music,,,Google Play Music,2017-12-22T06:34:15.171Z,Pleasure Control,,True,False,False
Lettuce,Google Play Music,,,Google Play Music,2017-12-22T06:28:41.931Z,Sounds Like a Party,,True,False,False
Jaco Pastorius,Google Play Music,,,Google Play Music,2017-12-22T06:25:08.668Z,Portrait of Tracy,,True,False,False
Mark Guiliana,Google Play Music,,,Google Play Music,2017-12-22T06:22:46.189Z,Please Hang Up,,True,False,False
Magda Giannikou,Google Play Music,,,Google Play Music,2017-12-22T06:18:36.570Z,Amour T'es La,,True,False,False
Esperanza Spalding,Google Play Music,,,Google Play Music,2017-12-22T06:14:14.006Z,Judas,,True,False,False
Snarky Puppy,Google Play Music,,,Google Play Music,2017-12-22T06:10:04.408Z,Sintra (live),,True,False,False
Shaun Martin,Google Play Music,,,Google Play Music,2017-12-22T06:06:32.368Z,Introduction,,True,False,False
Benny Greb,Google Play Music,,,Google Play Music,2017-12-22T06:02:44.997Z,Barking,,True,False,False
Vulfpeck,Google Play Music,,,Google Play Music,2017-12-22T06:00:43.182Z,Prom,,True,False,False
The RH Factor,Google Play Music,,,Google Play Music,2017-12-22T05:56:43.583Z,Crazy Race,,True,False,False
Hiatus Kaiyote,Google Play Music,,,Google Play Music,2017-12-22T05:54:19.638Z,Lace Skull,,True,False,False
FORQ,Google Play Music,,,Google Play Music,2017-12-22T05:50:19.857Z,635 South,,True,False,False
Bill Laurance,Google Play Music,,,Google Play Music,2017-12-22T05:47:50.708Z,The Good Things,,True,False,False
Jacob Collier,Google Play Music,,,Google Play Music,2017-12-22T05:40:57.210Z,Down the Line,,True,False,False
Cory Henry,Google Play Music,,,Google Play Music,2017-12-22T05:34:18.362Z,Back When,,True,False,False
Snarky Puppy,Google Play Music,,,Google Play Music,2017-12-22T05:28:00.155Z,"Sing To The Moon (Live At Esplanade Studios, New Orleans LA / 2015) (feat. Laura Mvula & Michelle Willis)",,True,False,False
Cage The Elephant,Google Play Music,,,Google Play Music,2017-12-22T05:22:05.128Z,Back Against the Wall,,True,False,False
Sex Bob-Omb,Google Play Music,,,Google Play Music,2017-12-22T05:20:26.447Z,Threshold,,True,False,False
The Strokes,Google Play Music,,,Google Play Music,2017-12-22T05:20:25.003Z,Last Nite,,True,False,False
Radiohead,Google Play Music,,,Google Play Music,2017-12-22T05:20:22.294Z,All I Need,,True,False,False
Arctic Monkeys,Google Play Music,,,Google Play Music,2017-12-22T05:19:15.559Z,Secret Door,,True,False,False
Gorillaz,Google Play Music,,,Google Play Music,2017-12-22T05:15:33.069Z,El Mañana,,True,False,False
Daft Punk,Google Play Music,,,Google Play Music,2017-12-22T05:11:30.844Z,Something About Us,,True,False,False
Cage The Elephant,Google Play Music,,,Google Play Music,2017-12-22T05:10:54.898Z,Always Something,,True,False,False
Cake,Google Play Music,,,Google Play Music,2017-12-22T05:07:13.290Z,Arco Arena (Instrumental),,True,False,False
The Strokes,Google Play Music,,,Google Play Music,2017-12-22T05:05:41.594Z,Reptilia,,True,False,False
Gorillaz,Google Play Music,,,Google Play Music,2017-12-22T05:02:02.032Z,Tomorrow Comes Today,,True,False,False
Arctic Monkeys,Google Play Music,,,Google Play Music,2017-12-22T04:58:48.872Z,Riot Van,,True,False,False
Tame Impala,Google Play Music,,,Google Play Music,2017-12-22T04:56:33.396Z,Elephant,,True,False,False
Space Monkeyz vs Gorillaz,Google Play Music,,,Google Play Music,2017-12-22T04:53:02.724Z,Lil' Dub Chefin' (Radio Edit),,True,False,False
MGMT,Google Play Music,,,Google Play Music,2017-12-22T04:50:00.755Z,Electric Feel,,True,False,False
Gorillaz,Google Play Music,,,Google Play Music,2017-12-22T04:46:11.085Z,19-2000 (Soulchild Remix),,True,False,False
Cage The Elephant,Google Play Music,,,Google Play Music,2017-12-22T04:42:41.019Z,Hypocrite,,True,False,False
The White Stripes,Google Play Music,,,Google Play Music,2017-12-22T04:38:32.069Z,The Denial Twist,,True,False,False
Arctic Monkeys,Google Play Music,,,Google Play Music,2017-12-22T04:35:56.154Z,Teddy Picker,,True,False,False
Gorillaz,Google Play Music,,,Google Play Music,2017-12-22T04:33:16.458Z,Bill Murray (feat. A Band of Bees),,True,False,False
Kaiser Chiefs,Google Play Music,,,Google Play Music,2017-12-22T04:29:16.981Z,You Can Have It All,,True,False,False
Kaiser Chiefs,Google Play Music,,,Google Play Music,2017-12-22T04:25:45.729Z,Na Na Na Na Naa,,True,False,False
Kaiser Chiefs,Google Play Music,,,Google Play Music,2017-12-22T04:22:44.759Z,Modern Way,,True,False,False
Kaiser Chiefs,Google Play Music,,,Google Play Music,2017-12-22T04:18:41.888Z,I Predict A Riot,,True,False,False
Kaiser Chiefs,Google Play Music,,,Google Play Music,2017-12-22T04:14:47.892Z,Everyday I Love You Less and Less,,True,False,False
Snarky Puppy,Google Play Music,,,Google Play Music,2017-12-22T04:07:45.681Z,Binky,,True,False,False
,Play Music,,,Google Play Music,2017-12-22T04:07:36.437Z,trivium pull harder on the strings,https://play.google.com/music/search/trivium+pull+harder+on+the+strings,False,False,True
Snarky Puppy,Google Play Music,,,Google Play Music,2017-12-22T04:04:58.389Z,Tio Macaco,,True,False,False
Snarky Puppy,Google Play Music,,,Google Play Music,2017-12-22T03:59:15.130Z,Thing Of Gold,,True,False,False
Snarky Puppy,Google Play Music,,,Google Play Music,2017-12-22T03:52:49.981Z,Kite,,True,False,False
Snarky Puppy,Google Play Music,,,Google Play Music,2017-12-22T03:46:37.334Z,Outlier,,True,False,False
Snarky Puppy,Google Play Music,,,Google Play Music,2017-12-22T03:39:51.924Z,Jambone,,True,False,False
Snarky Puppy,Google Play Music,,,Google Play Music,2017-12-22T03:34:44.660Z,Sleeper,,True,False,False
Snarky Puppy,Google Play Music,,,Google Play Music,2017-12-22T03:27:53.005Z,What About Me?,,True,False,False
Snarky Puppy,Google Play Music,,,Google Play Music,2017-12-22T03:21:10.764Z,Tarova,,True,False,False
Snarky Puppy,Google Play Music,,,Google Play Music,2017-12-22T02:10:28.037Z,Lingus,,True,False,False
Snarky Puppy,Google Play Music,,,Google Play Music,2017-12-22T01:59:42.206Z,Shofukan,,True,False,False
Gorillaz,Google Play Music,,,Google Play Music,2017-12-22T01:53:03.835Z,Andromeda (feat. DRAM),,True,False,False
Gorillaz,Google Play Music,,,Google Play Music,2017-12-22T01:47:44.741Z,On Melancholy Hill,,True,False,False
Gorillaz,Google Play Music,,,Google Play Music,2017-12-22T01:43:51.018Z,DARE (feat. Shaun Ryder),,True,False,False
Gorillaz,Google Play Music,,,Google Play Music,2017-12-22T01:39:45.984Z,Clint Eastwood,,True,False,False
Gorillaz,Google Play Music,,,Google Play Music,2017-12-22T01:34:05.305Z,Feel Good Inc,,True,False,False
Foster The People,Google Play Music,From your current location,"https://google.com/maps?q=28.244246,76.797127",Google Play Music,2017-12-21T08:23:52.235Z,Best Friend,,True,False,False
Bastille,Google Play Music,From your current location,"https://google.com/maps?q=28.244246,76.797127",Google Play Music,2017-12-21T08:19:24.328Z,Bad Blood,,True,False,False
Chvrches,Google Play Music,From your current location,"https://google.com/maps?q=28.244246,76.797127",Google Play Music,2017-12-21T08:15:51.691Z,The Mother We Share,,True,False,False
Florence + The Machine,Google Play Music,From your current location,"https://google.com/maps?q=28.244246,76.797127",Google Play Music,2017-12-21T08:12:39.967Z,Drumming Song,,True,False,False
Cage The Elephant,Google Play Music,From your current location,"https://google.com/maps?q=28.244246,76.797127",Google Play Music,2017-12-21T08:12:06.612Z,Cigarette Daydreams,,True,False,False
The Black Keys,Google Play Music,From your current location,"https://google.com/maps?q=28.244246,76.797127",Google Play Music,2017-12-21T08:08:35.067Z,Fever,,True,False,False
MS MR,Google Play Music,From your current location,"https://google.com/maps?q=28.244246,76.797127",Google Play Music,2017-12-21T08:04:27.758Z,BTSK,,True,False,False
Flume,Google Play Music,From your current location,"https://google.com/maps?q=28.244246,76.797127",Google Play Music,2017-12-21T08:00:55.383Z,Drop the Game,,True,False,False
Bastille,Google Play Music,From your current location,"https://google.com/maps?q=28.244246,76.797127",Google Play Music,2017-12-21T08:00:53.453Z,Things We Lost In The Fire,,True,False,False
Of Monsters And Men,Google Play Music,From your current location,"https://google.com/maps?q=28.244246,76.797127",Google Play Music,2017-12-21T08:00:50.438Z,Little Talks,,True,False,False
alt-J,Google Play Music,From your current location,"https://google.com/maps?q=28.244246,76.797127",Google Play Music,2017-12-21T07:49:38.283Z,Every Other Freckle,,True,False,False
Daughter,Google Play Music,From your current location,"https://google.com/maps?q=28.244246,76.797127",Google Play Music,2017-12-21T07:46:02.202Z,Smother,,True,False,False
Empire Of The Sun,Google Play Music,From your current location,"https://google.com/maps?q=28.244246,76.797127",Google Play Music,2017-12-21T07:42:00.627Z,Walking On A Dream,,True,False,False
Florence + The Machine,Google Play Music,From your current location,"https://google.com/maps?q=28.244246,76.797127",Google Play Music,2017-12-21T07:38:42.044Z,Shake It Out,,True,False,False
Lorde,Google Play Music,From your current location,"https://google.com/maps?q=28.244246,76.797127",Google Play Music,2017-12-21T07:34:03.170Z,Flicker (Kanye West Rework) (From The Hunger Games: Mockingjay Part 1 Soundtrack),,True,False,False
Jungle,Google Play Music,From your current location,"https://google.com/maps?q=28.244246,76.797127",Google Play Music,2017-12-21T07:29:50.054Z,Busy Earnin',,True,False,False
Saint Motel,Google Play Music,From your current location,"https://google.com/maps?q=28.244246,76.797127",Google Play Music,2017-12-21T07:29:33.759Z,My Type,,True,False,False
Capital Cities,Google Play Music,From your current location,"https://google.com/maps?q=28.244246,76.797127",Google Play Music,2017-12-21T07:26:15.878Z,Safe And Sound,,True,False,False
The Black Keys,Google Play Music,From your current location,"https://google.com/maps?q=28.244246,76.797127",Google Play Music,2017-12-21T07:23:02.927Z,Gold on the Ceiling,,True,False,False
Lorde,Google Play Music,From your current location,"https://google.com/maps?q=28.244246,76.797127",Google Play Music,2017-12-21T07:19:15.915Z,400 Lux,,True,False,False
System Of A Down,Google Play Music,,,Google Play Music,2017-12-21T03:39:40.735Z,Chop Suey!,,True,False,False
Smashing Pumpkins,Google Play Music,,,Google Play Music,2017-12-21T03:36:10.511Z,Today,,True,False,False
Foo Fighters,Google Play Music,,,Google Play Music,2017-12-21T03:32:49.346Z,Learn to Fly,,True,False,False
Rage Against the Machine,Google Play Music,,,Google Play Music,2017-12-21T03:28:53.685Z,The Ghost of Tom Joad,,True,False,False
Pearl Jam,Google Play Music,,,Google Play Music,2017-12-21T03:23:15.382Z,Even Flow,,True,False,False
Soundgarden,Google Play Music,,,Google Play Music,2017-12-21T03:18:22.852Z,Black Hole Sun,,True,False,False
Audioslave,Google Play Music,,,Google Play Music,2017-12-21T03:13:04.144Z,I Am the Highway,,True,False,False
Emancipator,Google Play Music,,,Google Play Music,2017-12-20T17:56:51.660Z,The Darkest Evening of the Year,,True,False,False
Emancipator,Google Play Music,,,Google Play Music,2017-12-20T17:54:27.704Z,With Rainy Eyes,,True,False,False
Emancipator,Google Play Music,,,Google Play Music,2017-12-20T17:49:27.076Z,When I Go,,True,False,False
Emancipator,Google Play Music,,,Google Play Music,2017-12-20T17:43:47.035Z,Wolf Drawn,,True,False,False
Emancipator,Google Play Music,,,Google Play Music,2017-12-20T17:40:26.115Z,Lionheart,,True,False,False
Iamthemorning,Google Play Music,,,Google Play Music,2017-12-20T17:35:30.718Z,I Came Before the Water (Pt. I),,True,False,False
,Play Music,,,Google Play Music,2017-12-20T17:35:21.010Z,emancipator ensemble,https://play.google.com/music/search/emancipator+ensemble,False,False,True
Metallica,Google Play Music,,,Google Play Music,2017-12-20T17:34:55.759Z,For Whom The Bell Tolls (Remastered),,True,False,False
,Play Music,,,Google Play Music,2017-12-20T17:34:49.194Z,iamthemorning,https://play.google.com/music/search/iamthemorning,False,False,True
Skid Row,Google Play Music,,,Google Play Music,2017-12-20T14:51:43.042Z,Here I Am,,True,False,False
W.A.S.P.,Google Play Music,,,Google Play Music,2017-12-20T14:48:33.857Z,Animal (Fuck Like A Beast),,True,False,False
Van Halen,Google Play Music,,,Google Play Music,2017-12-20T14:45:26.681Z,You Really Got Me (2015 Remastered Version),,True,False,False
Iron Maiden,Google Play Music,,,Google Play Music,2017-12-20T14:42:50.066Z,Wasted Years (1998 Remastered Version),,True,False,False
Black Sabbath,Google Play Music,,,Google Play Music,2017-12-20T14:37:42.017Z,Loner,,True,False,False
Mötley Crüe,Google Play Music,,,Google Play Music,2017-12-20T14:32:42.117Z,Smokin' In The Boys Room,,True,False,False
Megadeth,Google Play Music,,,Google Play Music,2017-12-20T14:29:15.055Z,Tornado Of Souls (2004 Digital Remaster),,True,False,False
Dio,Google Play Music,,,Google Play Music,2017-12-20T14:23:55.795Z,Rainbow In The Dark,,True,False,False
Judas Priest,Google Play Music,,,Google Play Music,2017-12-20T14:19:41.827Z,The Ripper,,True,False,False
Danzig,Google Play Music,,,Google Play Music,2017-12-20T14:16:51.046Z,Mother,,True,False,False
Iron Maiden,Google Play Music,,,Google Play Music,2017-12-20T14:13:26.305Z,Aces High (1998 Remastered Version),,True,False,False
Ozzy Osbourne,Google Play Music,,,Google Play Music,2017-12-20T14:08:57.697Z,Perry Mason,,True,False,False
Guns N' Roses,Google Play Music,,,Google Play Music,2017-12-20T14:03:03.241Z,Welcome To The Jungle,,True,False,False
Rush,Google Play Music,,,Google Play Music,2017-12-20T13:58:29.807Z,Limelight,,True,False,False
Slayer,Google Play Music,,,Google Play Music,2017-12-20T13:54:10.011Z,South Of Heaven,,True,False,False
Motörhead,Google Play Music,,,Google Play Music,2017-12-20T13:49:11.470Z,The Hammer,,True,False,False
AC/DC,Google Play Music,,,Google Play Music,2017-12-20T13:46:26.707Z,Who Made Who,,True,False,False
Iron Maiden,Google Play Music,,,Google Play Music,2017-12-20T13:42:59.029Z,The Trooper (1998 Remastered Version),,True,False,False
Pantera,Google Play Music,,,Google Play Music,2017-12-20T13:38:48.020Z,Fucking Hostile,,True,False,False
Kiss,Google Play Music,,,Google Play Music,2017-12-20T13:35:59.470Z,Heaven's On Fire,,True,False,False
Metallica,Google Play Music,,,Google Play Music,2017-12-20T13:32:34.554Z,Seek & Destroy (Remastered),,True,False,False
Led Zeppelin,Google Play Music,,,Google Play Music,2017-12-20T13:29:20.178Z,Immigrant Song,,True,False,False
Scorpions,Google Play Music,,,Google Play Music,2017-12-20T13:26:53.791Z,Rock You Like a Hurricane,,True,False,False
Megadeth,Google Play Music,,,Google Play Music,2017-12-20T13:22:37.631Z,Peace Sells (2011 - Remastered),,True,False,False
Iron Maiden,Google Play Music,,,Google Play Music,2017-12-20T13:18:33.281Z,Run to the Hills (1998 Remastered Version),,True,False,False
Foo Fighters,Google Play Music,,,Google Play Music,2017-12-20T13:05:42.987Z,Everlong,,True,False,False
,Play Music,,,Google Play Music,2017-12-20T13:05:34.647Z,Run to the hills flight 666,https://play.google.com/music/search/Run+to+the+hills+flight+666,False,False,True
The White Stripes,Google Play Music,,,Google Play Music,2017-12-20T11:11:47.128Z,Fell in Love With a Girl,,True,False,False
Kings Of Leon,Google Play Music,,,Google Play Music,2017-12-20T11:09:56.976Z,Molly's Chambers,,True,False,False
Gorillaz,Google Play Music,,,Google Play Music,2017-12-20T11:07:42.155Z,On Melancholy Hill,,True,False,False
Arctic Monkeys,Google Play Music,,,Google Play Music,2017-12-20T10:36:10.818Z,D is for Dangerous,,True,False,False
Radiohead,Google Play Music,,,Google Play Music,2017-12-20T10:34:41.993Z,The Bends,,True,False,False
Muse,Google Play Music,,,Google Play Music,2017-12-20T10:30:30.212Z,Muscle Museum,,True,False,False
Foster The People,Google Play Music,From your current location,"https://google.com/maps?q=28.613939,77.209023",Google Play Music,2017-12-20T10:03:30.420Z,Pumped Up Kicks,,True,False,False
alt-J,Google Play Music,From your current location,"https://google.com/maps?q=28.613939,77.209023",Google Play Music,2017-12-20T10:03:24.194Z,Something Good,,True,False,False
Florence + The Machine,Google Play Music,From your current location,"https://google.com/maps?q=28.244246,76.797127",Google Play Music,2017-12-20T10:03:20.585Z,"No Light, No Light",,True,False,False
M83,Google Play Music,From your current location,"https://google.com/maps?q=28.244246,76.797127",Google Play Music,2017-12-20T09:36:52.417Z,Midnight City,,True,False,False
Lorde,Google Play Music,From your current location,"https://google.com/maps?q=28.244246,76.797127",Google Play Music,2017-12-20T09:36:50.923Z,The Love Club,,True,False,False
MS MR,Google Play Music,From your current location,"https://google.com/maps?q=28.244246,76.797127",Google Play Music,2017-12-20T09:36:48.381Z,No Trace,,True,False,False
